name_tejary,mavared_masraf,avarez_janebi,amozesh,tavajohat
-------,درمان سرفه تسهیل تخلیه خلط اط ریه دفع ترشحات مجاری تنفس سرماخوردگی,خواب آلودگی تهوع استفراغ,بیمار تخلیه خلط سرفه دارو لیوان آب مصرف ,بهتراست دارو 4 روز استفاده کدئینه دارو خاصیت خواب آلودگی 
Amonidrin,"سرفه های خشک درمان کمک فارنژیت, برونشیت سینوزیت",تهوع استفراغ ناراحت معده گیجید#گیج ضایعات پوست, همراه شربت لیوان آب مصرف تهوع استفراغ شدید علامت مسمومیت , صورت تب لرز علائم عفونی درمان 
Bisolvon,سرفه های توام خلط,ناراحت دستگاه گوارش سردرد ضایعات پوست, همراه مصرف دارو تعریق صورت مشکلات گوارش زخم معده پزشک اطلاع داد#ده , صورت مصرف طولانی تست کلیوی کبد کنترل 
Feldene,"درد های اسکلتی-عضلانی, رماتیسم مفصلی, رماتیسم جوان",فلج عصب سیاتیک عوارض گوارش زخم معده تنوع تزریق عوارض موضع فلج عصب سیاتیک مصرف توسط وزارت بهداشت ممنوع ,خواب آلودگی شدید خستگی سرگیجه پزشک اطلاع داد#ده دارو لیوان آب مصرف ,تست های کبد کلیوی ضورری دارو غذا استفاده 
Vibramy cine,عفونت های حاد گونوکوکی سیفلیس عفونت های لوله رحم عفونت دستگاه تناسلی,تهوع استفراغ اسهال رنگ دندان بچه ها ضایعات پوست علائم آسم زخم معده زخم دهان زبان سیاه رنگ دل درد,مصرف 2 لیوان آب وضعیت ایستاده نشته خوردن دارو توصیه , درمان محل عفونت کشت عملکرد کلیوی بیمار کنترل اسهال تلقی 
Narcan,تشخیص درمان مسمومیت ها مواد مخدر کومای درمان مهار تنفس جراح خارش انسداد صفراوی,تهوع استفراغ اختلال تمرکز حواس اشتهایی تغییرات فشار خون, خاص مطرح , دارو مراکز اورژانس بیمارستان تزریق 
Calamox,خارش التهاب خفیف پوست گرمازدگی آفتاب سوختگی , خاص , صورت خوردن کالامین صورت اتفاق شیر آنتی اسید های خوراک مفید , دارو جلد جذب نم آثار عموم نم گذاشت#گذار دارو استعمال خارج لوسیون پارچه کتان محل مالید#مال صبر خشک 
Canesten,عفونت کاندیدا پوست عفونت کاندیدا واژن,افسردگی عوارض ادرار اختلالات آزمایش های کبد موارد جذب عموم میکند ,دارو پایان دوره استفاده , ماه نتایج درمانی ظاهر شد#شو وگر تشخیص قطع 
Daktarin, درمان عفونت های قراچی پوست ناخن عفونت زن, موارد جلد استفاده کرم ضایعات پوست احساس سوزش قرمزی موارد تزریق ورید اسهال استفراغ تب خواب آلودگی ,دارو دستور پزشک استفاده , کرم واژینال شب هفته استفاده دوره درمان میتواند تکرار 
Ketrax,کرم های روده ای نماتود سرطان روده عنوان دارو کمک مصرف اصلیدرمان کرم آسکاریس بیمار رماتیسم مفصل کاربرد ,تهوع استفراغ سردرد عوارض جانبی تب درد مفاصل درد شکم,ضایعات پوست پزشک اطلاع داد#ده خونریزی لثه بینی محتمل , بیمار های رماتیسم احتمال عوارض خون دارو افرادبا بیمار خون تجویز تست های کبد حتما انجام 
Niloral,عفونت های قارچ برفک دهان هیستوپلاسموز قارچ ناخن,"تهوع استفراغ, خواب آلودگی قرار احساس وزوز گوش سر درد لرز تب تنگ نفس راش کهیر", تشدید عارضه پزشک اطلاع داد#ده الکل تشدید عوارض دارو دارو قرص های ضد داشت#دار کاهش ,احتمال اختلالات کبد آزمایش های خون انجام 
Sifoten,درمان تشنج صرع تشنج نوزاد تشنج دنبال ضربه تشنج زمان حاملگی عنوان حس موضع,آختلال هوشیار خواب آلودگی اختلال خون ضایعات حساسیت موضع سردرد قرار اضطراب, تزریق استفاده قادر استفاده خوراک ,کاهش فشار خون اختلال تنفس افزایش ضرب قلب جزء علامت مسمومیت قرص جویده 
Serventrine, دارو قلب گیرنده های بتا 1 بتا 2 تحریک ریه انقباض عروق شوک نارسایی قلب اسپاسم ریه کاربرد بلوک قلب موارد استفاده ,سر گیحجه سردرد نظم قلب کاهش فشار خون تشج تپش قلب, صورت سرگیجه تپش قلب پزشک اطلاع داد#ده مصرف چای قهوه خوددار ,فشار خون ضرب قلب بیمار کنترل صورت افزایش ضرب قلب سرعت میزان مصرف دارو 
Vasodilan,نارسایی عروق محیط سندرم رینود مشکلات عروق مغز بیمار برگز عوارض همراه قاعدگی,تهوع استفراغ عصبانیت ضعف گیجید#گیج تپش قلب لرزش تندکاری ضربانت قلب ضایعات پوست دل پیچه, ضایعات پوست پزشک اطلاع داد#ده , تحریک قلب افزایش ضرب قلب 
Ismelin,فشار خون اولیه فشار خون بیمار کلیوی تنگ شریان کلیوی,اسهال استفراغ مشکلات چشم کاهش فشار خون تورم اندام ها علائم آسم افزایش وزن ضایعات پوست, صورت علائم پزشک اطاع داد#ده , دارو هالوپریدول فتوتیازین ضد افسردگی ها تداخل استفاده دیورتیک کاهش ادم عموم تجویز 
Minipess,فشار خون خفیف متوسط,"خشکی دهان اسهال درد شکم خونریزی بینی درد عضله استخوان, تار دید, ضعف خواب آلودگی", اجازه پزشک دارو ناگهانی قطع شد#شو دارو سب میل خشکی دهان جزء عوارض شایع آدامس آب نبات استفاده ,علائم حیاتی بیمار کنترل احتمال سنکوپ میزان بالا دارو شایع 
Norvasc,دردرمان آنژین درد قلب درمان فشار خون استفاده ,سر درد تپش قلب تهوع درد شکم نفس تنگ راش جلد,دارو غذا مصرف صورت یبوست تپش قلب پزشک اطلاع داد#ده ,فشار خون نبض حین درمان کنترل صورت ادم شدید دارو قطع 
Adalate, درمان فشار خون ضد درد قلب درد ها,سردرد تهوع استفراغ سرگیجه کاهش فشار خون سنکوپ نظم ریتم قلب خواب آلودگی شب ادرار سردرد,سرگیجه تپش قلب تهوع استفراغ شدید فشار خون علائم مسمومیت ,فشار خون بیمار کنترل هنگامی حمله حاد فشار خون کپسول استفاده سنکوپ تغییرات قند خون احتمال 
Cardizem,"آنژین مزمن قلب آریتمی قلبی, جلوگیری سکته قلبی, میگرن","خواب آلودگی سردرد تهوع استفراغ نارسایی قلبی, آریتمی ضعف روان شب ادرار خونریزی سختی تنفس کاهش اشتها",دارو غذا مصرف ,فشار خون بیمار بایست کنترل 
Dalmane, خوابید#خواب اضطراب,خواب آلودگی شدید سردرد سرگیجه افسردگی تورم اختلال بینایی تهوع استفراغ, زمان مصرف انجام کار دقیق خودداریشود , دارو وابستگی عادت همراه کنترل شمارش سلول های خون انجام عملکرد کلیه وکبد تست 
Librium,اضطراب محرومیت الکل عوارض ترک ,"خواب آلودگی ,سر درد اختلال فکر ادرار مشکلات گوارش مشکلات تنفس اختلال کارکرد کبد خشکی دهان یبوست", مصرف دارو راننگی ممنوع , بیمار نارسایی ریه پورفیری بیمار ارث نادر خون بیمار دچارکاهش آلومینیوم خون احتیاط مصرف 
Librax, دارو ترکیب کلردیازپوکساید کلیدینیوم بروماید درمان کمک زخم معده روده تحریک پذیر,مشکلات مغز خوابید#خواب تحریک پذیرفت#پذیر اضطراب قرار زرد خشکی دهان احتباس ادرار مدفوع خواب آلودگی,مصرف نیم ساعت غذا مفید تر ,تست های کبد خون حین درمان انجام مصرف دراز دلیل کلردیازوپوکساید اعتیاد آور 
Ativan,اختلالات اضطراب خوابید#خواب تشنج تهوع استفراغ,"خواب آلودگی شدید ضعف سرگیجه کاهش فشار خون رفتن فشار خون, کاهش شنوایی, درد شکم استفراغ",دارو ناگهانی قطع صورت حاملگی حین مصرف دارو پزشک اطلاع داد#ده رانندگی کار دقیق مصرف دارو ممنوع , تزریق داخل یخچال نگهداری تست های خون کبد عمل آمد#آ 
Dormtcum,آرام کاهش اضطراب نگهداری کمک بیهوشی عموم درمان تشنج سکسکه مقاوم درمان,توقف تنفس مه عارضه میباشد راش تحریک پذیرفت#پذیر قرار لارنگواسپاسم اسپاسم مجاری هوا سردرد تند تنفس لکنت تار دید اختلال چشم اختلال تعادل,اختلالات روان حرکت دارو محتمل 24 ساعت دریافت دارو بیمار کار دقیق مشغول رانندگی ,میزان تجویز دارو سنین سالمند اطفال پایین تر تزریق عضلانی دارو عمیق 
Frisium,اضطراب قرار تشنج درد های قطع عضو,خواب آلودگی سردرد لرزش دست ها مشکلات گوارش کاهش فشار خون خشکی دهان تهوع یبوست افزایش اشتها, رانندگی اجتناب دارو ناگهانی قطع ,مصرف مداوم عادت وابستگی همراه 
Rivotril,تشنج اختلالات حملات عضلانی میوکلونیک صرع,خواب آلودگی دوبینی حرکات طبیعی کره چشم افسردگی توهم تپش قلب پرمو تورم صورت قوزک پا خشکی دهان تنگ نفس, مصرف همزمان دارو خواب آور ضد اضطراب خوددار حاملگی احتیاط صورت ضرورت استفاده ,قطع ناگهانی کلونزپام مصرف دارو قطع تدریجی کلونازپام ممنوع تست های کبد ارزیاب 
Serax,"آرام اختلالات اضطرابی, خوابید#خواب",تهوع خواب آلودگی کاهش فشار خون زرد خارش پوست,دارو غذا مصرف اختلال خواب جزء عوارض نادر مصرف رانندگی خوددار ,کنترل تست های خون وکبدی ضروری دوره حاملگی شیر داد#ده توصیه نم 
Valium,درمان اضطراب تشنج ضد لرزش ضد حملات ترس پانیک اسپاسم عضلانی عنوان شل عضلات اسپاسم بیمار کزاز ,خواب آلودگی شدید گیجید#گیج خشکی دهان یبوست زرد درد عضلانی تنگ نفس خون اختلالات سلول های خون کاهش فشار خون, تجویز ورید احتمال کاهش فشار خون وقفه تنفس رود بایست بیمرا مصرف دارو آرام همزمان پرهیز نمود#نما مصرف دارو انجام کار های مند دقت رانندگی خوددار ,خواب آلودگی شدید جمله علائم مسمومیت قطع دارو ناگهانی ناک 
Xanax,اضطراب حمله ترس,سرگیچه خواب آلودگی تاکیکاردی مشکلات تنفس,خواب آلودگی سالمند بزرگسالان تذکر داد#ده , بیمار توصیه مصرف دارو رانندگی پرهیز 
Talwin,ضد درد متوسط شدید,درد محل تزریق علائم خواب آلودگی کاهش هوشیار عوارض خون,خواب آلودگی شدید , دارو آمینوفیلین باربیتورات هپارین تداخل سیگار متابولیسم پنتازوسین افزایش 
Anusol,گال شپش پدیکولوز , صورت مصرف خوراک تشنج علائم عصبی , علارغم درمان موفق خارش 2 هفته باقی ماند#مان تماس چشم مخاط دهان دارو پرهیز همزمان لباس محلفه روبالشی آب جوش شست#شوی , دارو صورت محلول امولوسیون موضع مالید#مال 
Haldol,اختلالات سایکوز حاد مزمن اضطراب شدید بیمار اوتیسم افعال استفراغ های شدید دیس تون اندام ها,خشکی دهان خواب تشنج آریتمی قلب ," رانندگی کار دقیق خوددار استفاده الکل دارو های خواب آورهمزمان اجتناب خشکی دهان عوارض شایع است, مایعات مصرف بیمار انجام آزمایش حین مصرف دارو همکار بیمار سرما گرما شدید قرار گرفت#گیر ",تزریق هالوپریدول صورت عمق باسوزن شماره 21 انجام صورت عضلانی تزریق 
Inapsine,"ضد سایکوز ضد بیهوشی, ضد تهوع راستا اقدامات تشخیص آماده بیمار آرام قرار شدید",اختلالات تنفس فشار خون خواب آلودگی شدید عمل, ساعت خواب آلودگی همراه پرستار بیمار تذکر داد#ده , صورت استفاده دارو مهار اعصاب مرکزی میزان مصرف دارو کاهش 
Glucophage,دیابت قند تیپ II ,تهوع استفراغ اشتهایی خون ضایعات جلد, متفورمین صبحانه شام میل بیمار قند شناسنامه کارت نشانگر بیمار آنهاست همراه , دارو استروژن ایزونیازید ضد داشت#دار خوراک تداخل دارویی قند خون بیمار کنترل 
Drionel,استئوپورز پوکید#پوک استخوان یائسگی پوکید#پوک استخوان استروئید کورتون درمان پوکید#پوک استخوان یائسگی,"تهوع استفراغ اسهال تشنج لوکوپنی ,در عضلات سردرد ضایعات پوست التهاب تورم زبان توهم اختلال عملکرد کبد کلیه",بیمار تشوی استفاده مواد غذا کلسیم بیمار پاژه آثار درمانی ماه درمان ظاهر ,"آزمایش کبد کلیوی کنترل بیمار پاژه, آلکالین فسفات هیدروکسی پرولین اندازه دارو آنتی اسید مصرف شد#شو "
Fluothane,بیهوشی عموم القا نگهداری بیهوشی عموم کاهش میزان درد زایمان های طبیعی حس سرپایی,مه مشکل هیپرترمی بدخیم اختلال کلیوی کبد درد عضلانی کاهش فشار خون اختلالات تنفس جمله عوارض دارو ,بیمار اطلاعات دارویی پزشک ثبت تاریخچه پزشک ارائه نمود#نما ,ضعف عملکرد قلب جمله عوارض مراقب 
Plasil,برگ اسید معده مری درمان پیشگیر استفراغ استفراغ شیمی درمانی,علائم پارکینسون سردرد خوابید#خواب تشنج توهم اسهال تکرار ادرار علائم چشم مغز,رانندگی مصرف دارو ناک , صورت تکرار تزریق دارو رقیق رنگ دارو تزریق عوض 
Carbastate,کاهش فشار داخل کره چشم گلوکوم ,تهوع استفراغ ترشح اشک بزاق تپش قلب تشنج, قطع ناگهانی دارو پرهیز , دارو تنگ کنندگی مردمک 
Solatene,کمبود ویتامین A مهار واکنش های حساسیت نور, رنگ پوست اسهال کبود پوست درد مفصل,دارو همراه غذا مصرف , مصرف دارو بیمار زرد رنگ رسید#رس 
Intron A,سرطان های خون لوسمی سارکوم کاپوسی هپاتیت مزمن ,بیمار شبه آنفولانزا جمله عوارض حس گیجید#گیج قرار افسردگی خوابید#خواب فلج اندام ها اختلالات ادرار, کبود اطلاع پزشک رسید#رس دارو عوارض تراتوژنیک جنین ,تجویز پزشک تجربه تب عارضه ای شایع دارو نمیباشد 
Depostate,سرطان های رحم اندومتر هیپرپلازی خوش خیم پروستات,تهوع آ » بول ریه زرد ضایعات جلد میگرن سردرد ترشح شیر مویی طاس تب دارویی, دستور پزشک عمل ماه قطع دارو حاملگی صورت گرفت#گیر , دارو توانست#توان عوارض کبد ایجاد اختلال عملکرد کلیوی مد 
Norplant,جلوگیری باردار,"خستگی افسردگی ادم خونریزی سردرد زرد رفتن قند خون, احتمال لخته خون ورید ها ترومبوز آکنه پوست درد عضلات", روز پانسمان بردارید .24 ساعت دارو صورت کپسول ها هفته سیکل ماهانه جاگذاری صورت پیشگیر حاملگی استفاده , صورت زرد کپسول اخارج دارو احتباس مایع جاگذاری استریل انجام میگردد کپسول 5 سال خارج 
Depo-Provera,جلوگیری باردار پیشگیر هیپرلازی اندومتر رحم درمان موقت سرطان پستان خانم های یائسه سرطان پروستات مرد,"افسردگی ترومبوز ورید لخته خون پا افزایش قند خون, تهوع", محل تزریق آبسه ایجاد صورت هرگونه درد تورم ساق نشانه ای لخته خون ورید ها ترومبوز پزشک اطلاع داد#ده استعمال دخانیات همزمان ممنوع , بیمارن تشنج آسم اختلال قلب احتیاط مصرف 
Xalatan, درمان فشار بالا داخل چشم,تار دید دوبینی اشک ریزش سرماخوردگی ضایعات جلد,دارو خواب مصرف , عنبیه چشم رنگ قهوه ای ایجاد 
Propulished,احساس ترش معده تحرک دستگاه گوارش برگ مواد معده مری, عوارض قلب مجور جهانی FDA درد شکم تهوع یبوست عوارض خون سرفه خوابید#خواب راش پوست, بیمار مصرف دارو رانندگی کرد#کن دارو نیم ساعت غذا خواب مصرف دارو وارفارین تشدید تست PT طولانی میکند , بیمار قلب عروق احتیاط مصرف 
Cepaco,ضد عفونی درمان التهاب لثه ها عفونت جزئی دهان, صورت استفاده موضع غلظت پوست تحریک تهوع استفراغ مهار فعالیت مغز کاهش فشار خون مشکل تنفس ایجا , تماس محلول مخاط بدن دهان زبان حفره بینی شدیدا اجتناب ,واکنش حساسیت غلظت های 
Sandimmune,"مهار ایمن پیوند کلیه ضد رماتیسم درماتیت, عوارض پوست آلوپسی پیوند قرینیه چشم تیپ I دیابت",عوارض کبد تشنج حساسیت کشنده ضخیم لثه مویی نارسایی کلیه سکسکه یبوست فشار خون تهوع, خوش طعم محلول دارو آب میوه خورد#خور صورت خونریزی کبود پزشک اطلاع داد#ده تهوع استفراغ اوایل درمان زودگذر پیشگیر عفونت قارچ محلول نیستاتین غرغره ,آنزیم کبد آزمایش 
Salmon,پیشگیر پوکید#پوک استخوان یائسگی بیمار پاژه استخوان نئوپلاسم بدخیم,حساسیت شدید شوک مشکلات قلب کمر خونریزی سردرد تهوع استفراغ,گرگرفتگی صورت درصد بیمار رخ بلافاصله برطرف بیمار غذا ها دارو های حاوی کلسیم مصرف استفاده ار اسپری بازو سفید کنار 6 پایین فشار داد#ده مقدار اسپری خارج ,سطح آلکالن فسفاتاز کلسیم اندازه دارو شب ها خواب تجویز تزریق دارو کلیسم تزریق آماده داشت#دار 
Dextraran, اصل مصرف موارد اورژنش خون دسترس نباشدو محلول حجم داخل عروث افزایش ,"سردرد تهوع استفراغ کاهش غلظت خون, خونریزی کهیر خارش", صورت عوارض جانبی پزشک اطلاع داد#ده ,احتمال شوک واکنش حساسیت شدید موارد نارسایی قلب احتیاط تجویز 
Colomycin,درمان عفونت های دستگاه گوارش گرم منفی پسودومونا,عوارض کلیوی مشکلات عضلانی کهیر خارش پوست تهوع استفراغ," رانندگی پرهیز دارو دارو های تداخل دارویی دارد, دارو مصرف پزشک اطلاع داد#ده ",ارزیاب تست های کبد ضروری اختلالات هشیار جمله عوارض 
Unipen,"عفونت های میکروبی میکروب استاف طلایی ,سلولیت عفونت استخوان پنومونی آبسه مغز اندوکاردیت عفونت نوزاد",ضایعات پوست علائم گوارش شکایات آنتی بیوتیک های گروه پنی سیلین, صورت علائم افزایش حساسیت موضوع پزشک اطلاع داد#ده تهوع استفراغ اسهال جزء علائم حساسیت شدید دارویی دارو زمان مصرف ,بیمار سابقه حساسیت گروه پنی سیلین ها بایست کشت آنتی بیوگرام 
amcill,عفونت های عموم دستگاه تنفس سیستم ادرار عفونت پرده مغز مننژیت ,اسهال اریتم قرمزی پوست مشکل خون عارضه کلیوی تشنج,بیمار میبایست دوره درمان دارو معده خال لیوان آب مصرف صورت آلرژی پزشک اطلاع هید , محلول تزریق آماده حداکثر ساعت تزریق انفوزیون ورید 10 15 دقیقه صورت محلول دارو میتوان 14 روز یخچال نگهداری 
Etopophos,سرطان های بیضه ریه,تهوع استفراغ ریزش مو اختلالات خون نوروپاتی محیط احتمال درد محل تزریق تند ضرب قلب درد شکم تعریق, صورت تهوع استفراق شدید پزشک اطلاع داد#ده تماس بیمار بیمار ویروس جلوگیری زخم دهان بهداشت دهان رعایت ,بسایری عوارض دارویی برگ پذیر صورت کاهش فشار خون بیمار تزریق مایعات دریافت 
Levstatin, درمان سرطان خون لوسمی لنفوم آنمی خون لیز ,عوارض خون عوارض کلیوی تب شدید عوارض شدید علادم گوارش, کبود پزشک اطلاع داد#ده دارو سمید#سم خطرناک دستور های پزشک پیگیری آزمایش ها توجه خانواده اطراف واکسیناسیون ویروس زنده قرار گرفت#گیر ,تست های کبد کلیوی درمان انجام 
Nootropil,کرم های گرد نماتود ها آسکاریس کرمک استرونژیلوس ,تهوع تشنج استفراغ دل درد ضعف عضلانی سردرد, دارو غذا میل اختلالات پوست کهیر خارش پزشک اطلاع داد#ده دوره درمان , دارو کودک درازمدت سمید#سم 
Trilafon,"اختلال شدید روان اسکیوزوفرنی, اضطراب شدید تهوع استفراغ شدید, افسردگی همراه اضطراب",علائم خواب آلودگی آرام خشکی دهان تهوع, صورت علائمشدید خواب آلودگی حساسیت شدید دارویی پزشک اطلاع داد#ده , حصول سریعع دارویی شکل تزریق استفاده 
Atarax,خارش حساسیت آلرژیک کهیر مزمن آرام ,آرام خواب آلودگی خشکی دهان سرگیجه تهوع, رانندگی کار دقیق پرهیز ,نواحی تزریق عضلانی کودک باسن عضلات خارج ران شدت خواب آلودگی تدریج کاسته 
Seldane,حساسیت آلرژی کهیر ترشحات بینی آبریزش- دارو آنتی هیستامین آرام ,سردرد سرگیجه عصبانیت قرار خوابید#خواب گزگز دست تهوع استفراغ درد سینه فشار خون , آب میوه گریپ فرو مصرف دارو های ضد افسردگی حلقه ای کینین تداخل ,تجویز دارو ادرار آور ممنوع صورت تپش قلب تشنج دارو قطع 
Hetrazan,آلودگی انگل کرم فیلاریاز سرکیاز لوآلوآ آسکاریس کرم های روده مجاری لنفاوی بدن ,سردرد تهوع استفراغ تب ضایعات پوست خواب آلودگی اشتهایی درد استخوان علائم تنگ نفس, صورت علائم جانبی عوارض دارویی پزشک مراجعه , دارو سرعت دستگاه گوارش جذب عمدتا طریق ادرار دفع 
Stugeron,درمان علامت سرگیجه اختلالات عروق محیط,خواب آلودگی افزایش اشتها ..., رانندگی اجتناب ,مصرف دارو همراه غذا مفید تر ضد تهوع مطلوب بیمار مسافرت صورت فشار خون بیمار علائم چاقید#چاق مصرف اندازه 
Imodium, درمان اسهال های مسافرت اسهال های حاد مزمن,یبوست سردرد سرگیجه خشکی دهان درد شکم خواب آلودگی راش پوست,رانندگی حین مصرف دارو ممنوع بیمار بایست مایعات مصرف تب قطع اسهال پزشک اطلاع داد#ده , اسهال های عفونی دارو تجویز نم بایست آب الکترولیت بیمار تامین ئتنظیم بیمار کبد احتیاط مصرف 
Alcobon,"درمان عفونت های قارچ کاندیدا, اسپورتریکوز, کریپتوکوکوزیس ","تهوع دل درد, اسهال مغر استخوان روده ها", درمان ماه بیمار وعده دارو فراموش زمان یاد آ « تکرار مگر فاصله وعده بعد داشت#دار , درمان عفونت مطمئن شد#شو تست های کبد صورت منظم تکرار صورت تب قرمزی پوست خارش کاهش فشار پزشک اطلاع داد#ده 
Persantine,"پیشگیر ترومبوآمبولی لخته خون ورید ها دریچه های مصنوع قلب تشخیص بیمار قلبی, پیشگیر سکته قلب مجدد",تار دید سردرد فشار خون پایین سوزش درد قفسه سینه استفراغ اسهال,دارو همراه غذا میل صورت احساس درد قفسه سینه پزشک اطلاع داد#ده , کاهش فشار خون احتیاط تجویز صورت سردرد ضد درد خفیف استفاده 
Taxotere, درمان سرطان های پستان مراحل پیشرفته نومور بدخیم سرطان پستان ریه تخمدان,تهوع استفراغ ریزش مو زخم دهان مشکلات خون گیجید#گیج کاهش فشار خون دل درد, خونریزی کبود پوست تلقی ریزش مو برگ پذیر بیمار مستعد خونریزی معرض ضربه قرار گرفت#گیر ناحیه سر ,تست های کبد گرفت#گیر مصرف دارو حاملگی شیر داد#ده ممنوع صورت تنگ نفس پرستار بایست پزشک اطلاع مصرف همزمان شیاف ممنوع 
Tetracyn,"عفونت های عموم خفیف متوسط, بیمار عفونی لگن عفونت گونوکوکی بیمار های مقاربتی, سفلیس عفونت مجاری ادرار زن",تهوع استفراغ اسهال جزء عوارض گوارش ناراحت شدید گوارش زخم مریممکن اختلالات خون عوارض ,بیمار معرض نور قرار گرفت#گیر دارو تاریخ گذشت#گذر عوارض شدید کلیوی اسهال گرفت#گیر پزشک اطلاع داد#ده , کشت آنتی بیوگرام بایست مطمئن شد#شو عوارض گوارش خوردن غذا دارو کاهش داد#ده 
Topiccy cline,آکنه عفونت های ساده پوست,حساسیت موضع پوست,معمولا ماه علائم بهبود آکنه ظاهر , خاص 
Ventolin,آسم حملات حاد آسم بیمار های انسداد ریه برونشیت پیشگیر زایمان زودرس,تهوع لرزش دست قرار خشکی دهان خوابید#خواب تپش قلب افزایش ضرب قلب استفراغ, صورت اصلاح مشکل تنفس بیمار پزشک اطلاع داد#ده احتمال سرگیجه منگ بیمار تذکر داد#ده ,لبه بیمار گوشزد رز دست شایع خوابید#خواب گاه مشکل آفرین 
Ergo-caff,حملات سر درد میگرن سر درد های عروق, خوابید#خواب ضعف عموم لنگ اندام تحتانی درد قفسه سینه تهوع استفراغ اسهال درد شکم ورم اندام ها, دارو وابستگی دارو شو د هفته ای 2 حملات سر درد استفاده قرص ابتدا حمله استفاده فعالبت قدم زدن هوا سرد پرهیز ,تداخل دارویی پروپرانولول قرص ضد حاملگی داشت#دار صورت تهوع شدید همراه دارو آمپول ضد استفراغ تجویز 
Barbidona,زخم معده بیمار روده تحریک پذیر IBS عفونت باکتریال روده اسهال درد شکم شیرخوار,تار دید خشکی دهان علائم عصبی مشکلات اداری ,دارو نیم ساعت غذا شب موقع خواب مصرف صورت تار دید خواب آلودگی راننگی اجتناب مایعات نوشید#نوش ,پزشک سابقه بیمار های کلیوی کبد چشم رسید#رس فاصه تجویز آنتی اسید دارو ساعت بیمار آنتی اسید غذا مصرف 
Fer-In-Sol," عنوان مکمل غذایی, خونساز خون فقر آهن",دل درد اشتهایی اسهال, قرص آب میوه شربت معده میل مصرف همزمان آهن تخم مرغ قهوه چای جذب کاهش جلوگیری رنگ دندان ها شربت نی مصرف میزان اندک دارو قرص میتواند مسمومیت کودک ,ویتامین C جذب آهن افزایش دارو درک خون حاملگی کاربرد وسیع 
Tylenol,درد خفیف شدید,درد شکم اسهال نفخ, صورت عارضه گوارش پزشک مراجعه وزن منظم توصیه ,دارو آغاز غذا مصرف 
Excedrin,درد های خفیف متوسط تب,ناراحت گوارش تهوع استفراغ مه عارضه آسیب کلیوی ,1 دارو ضد اسید معده مصرف 2 درمان درد دوره ماهانه خانم ها 1 2 روز دوره ماهانه مصرف 3 لیوان آب مصرف ,توصیه مصرف شیر آب دارو بیمار آسم پولیپ بینی تب یونجه کهیر مزمن ایجاد علائم میکند وزوز گوش 
Corisan,سرما خوردگی علائم آنفولانزا سینوزیت,مشکل خاص گزارش شد#شو , مواد کاهش تب مواد آنتی هیستامین بهبود احتقان آبریز بینی سینوزیت حاد استفاده شد#شو افزایش غلظت ترشحات تخلیه مشکل , بیمار توصیه 2 قرص مصرف نمود#نما 
Parvolex,هرگاه استامینوفن مسموم شد#شو کاربرد ,"خواب آلودگی ,کهیر تهوع اسپاسم هوا پایین رفتن فشار خون", عذا خواب مصرف صورت تهوع استفراغ پزشک اطلاع داد#ده ,ابن دارو اکسیژن مواد اکسید نا سازگار اریترومایسین آمفوتریسین تداخل دارویی 
Albenza,درمان کرم تنیاسولیوم سیستی سرکوزیس بیمار هیداتید,سر درد تهوع عوارض خون راش کهیر عوارض کبد," دارو خوراک کصرف زن ماه مصرف حامله شوند, انواع ضایعات شبکیه رتین چشم جزء موارد بیمار اطلاع پزشک رساند#رسان ", دارو غذا مصرف شمارش گلوبول های خون مصرف کنترل 
Adapettes,نارسایی ترشح اشک چشم خشکی چشم,تار دید سوزش چشم رسوب پلک, تماس نوک قطره چک پلک چشم خوددار صورت بهبود 2 روز پزشک اطلاع داد#ده , صورت هرگونه چشم درد سر درد قرمزی چشم پزشک اطلاع داد#ده 
Soriatane,ضایعات پوست پسوریارزیس اختلال کراتیینزاسیون,سر درد افسردگی پوسته ریزش مو آتروفی زخم دهان مه عارضه تشنج ادم عموم, صورت علائم چشم پزشک مراجعه باردار 3 سال ممنوع بیمار معرض نور آفتاب قرار گرفت#گیر ,دارو یکبار مصرف بیمار مصرف دارو 1 3 سال قطع دارو خون پرهیز عملکرد کلیه کبد کنترل 
------------,پارکینسون دارو ترکیب لوودوپا بنسرازید ,راش جلد تار دید خشکی دهان مشکلات کبد کلیوی تپش قلب خون کاهش فشار خون,احساس سرخوشی نشانه درمان بهبود دارو اطلاع پزشک قطع کرد#کن ,تست های کبد کلیوی ضروری توصیه دارو غذا میل 3 هفته علائم بهبود ظاهر احتمال رفتار عصبانیت مصرف دارو هست روانپزشک مشورت 
Sinemet,,راش جلد تار دید خشکی دهان مشکلات کبد کلیوی تپش قلب خون کاهش فشار خون,احساس سرخوشی نشانه درمان بهبود دارو اطلاع پزشک قطع کرد#کن ,تست های کبد کلیوی ضروری توصیه دارو غذا میل 3 هفته علائم بهبود ظاهر احتمال رفتار عصبانیت مصرف دارو هست روانپزشک مشورت 
pepto-bismol,پیشگیر اسهال مسافرت سوء هاضمه زخم معده روده گاستریت التهاب معده ,سیاه مدفوع عوارض عصبی مغز اعصاب محیط,بیسموت دارو کمک زخم دستگاه گوارش همراه دارو , صورت اسهال 2 روز همراه تب مصرف شد#شو برنامه پیشگیر کمتر 2 هفته ادامه 
