name,description,indication
Forasartan,forasartan specific angiotensin ii antagonist used alone antihypertensive agent treat hypertension forasartan competes angiotensin ii binding at1 receptor subtype angiotensin ii vasoconstrictor also stimulates synthesis release aldosterone blockage effect result decrease systemic vascular resistance , treatment hypertension 
Tolevamer,sodium polystyrene sulfonate medication used treat abnormally high potassium level may taken orally rectum enema function potassium-binding resin intestine also effective topical microbicide spermicide inhibiting genital transfection among others hiv ,used treat abnormally high potassium level 
Potassium cation,potassium major cation positive ion inside animal cell sodium major cation outside animal cell concentration difference charged particle cause difference electric potential inside outside cell known membrane potential balance potassium sodium maintained ion pump cell membrane cell membrane potential created potassium sodium ion allows cell generate action potential—a `` spike '' electrical discharge ability cell produce electrical discharge critical body function neurotransmission muscle contraction heart function potassium also essential mineral needed regulate water balance blood pressure level acidity ,potassium used regulate hypokalemia primary condition secondary medical condition 
Quinidine barbiturate, administration quinidine derivative help observe various skin mucosal reaction papulopurpuric eruption patient without thrombopenia developed taking quinidine phenylethyl barbiturate intermittently reintroduction pmid 9739909 ,
Saprisartan,saprisartan at1 receptor antagonist based medication losartan 's prototypical chemical structure mode functional at1 receptor antagonism characterized insurmountable/noncompetitive saprisartan likely slow dissociation kinetics at1 receptor underlie insurmountable antagonism a14009 ,saprisartan used treatment hypertension heart failure 
Spirapril,spirapril ace inhibitor antihypertensive drug used treat hypertension spirapril converted active spiraprilat administration ace inhibitor used primarily treatment hypertension congestive heart failure ,spirapril ace inhibitor class drug used treat hypertension 
Tasosartan,tasosartan long-acting angiotensin ii angii receptor blocker long duration action attributed active metabolite enoltasosartan used treat patient essential hypertension ,tasosartan infrequently treatment hypertension heart failure 
Amobarbital, barbiturate hypnotic sedative property antianxiety adverse effect mainly consequence dose-related cns depression risk dependence continued use high martindale extra pharmacopoeia 30th ed p565 ,
Aprobarbital,aprobarbital barbiturate derivative synthesized 1920s ernst preiswerk determined substance capable demonstrating sedative hypnotic anticonvulsant effect primary treatment indicated use aprobarbital subsequently insomnia aprobarbital never widely used common barbiturate derivative phenobarbital rarely prescribed ,
Butobarbital,butobarbital sedative hypnotic drug , treatment insomnia 
Heptabarbital,heptabarbital intermediate short term barbiturate used mainly sedation hypnosis ,used mainly sedation hypnosis 
Hexobarbital, barbiturate effective hypnotic sedative , induction anesthesia prior use general anesthetic agent induction anesthesia short surgical diagnostic therapeutic procedure associated minimal painful stimulus 
Lithium cation,lithium used 19th century treat gout lithium salt lithium carbonate li2co3 lithium citrate lithium orotate mood stabilizer used treatment bipolar disorder since unlike mood altering drug counteract mania depression lithium also used augment antidepressant drug also sometimes prescribed preventive treatment migraine disease cluster headache active principle salt lithium ion li+ smaller diameter easily displace k+ na+ even ca+2 spite greater charge occupying site several critical neuronal enzyme neurotransmitter receptor ,lithium salt form used mood stabilizer treatment depression mania frequently prescribed treatment bipolar disorder 
Mestranol, 3-methyl ether ethinyl estradiol must demethylated biologically active used estrogen component many combination oral contraceptive ,mestranol used one first oral contraceptive 
Penbutolol,penbutolol drug beta-blocker class used treat hypertension penbutolol bind beta-1 beta-2 adrenergic receptor rendering non-selective beta-blocker penbutolol act partial agonist beta adrenergic receptor since sympathomimetric drug penbutolol also demonstrates high binding affinity 5-hydroxytryptamine receptor 1a antagonistic effect binding characteristic penbutolol investigated implication antidepressant therapy penbutolol contraindicated patient cardiogenic shock sinus bradycardia second third degree atrioventricular conduction block bronchial asthma known hypersensitivity ,penbutolol indicated treatment mild moderate arterial hypertension may used alone combination antihypertensive agent especially thiazide-type diuretics.penbutolol contraindicated patient cardiogenic shock sinus bradycardia second third degree atrioventricular conduction block bronchial asthma known hypersensitivity 
Iohexol,iohexol effective non-ionic water-soluble contrast agent used myelography arthrography nephroangiography arteriography radiographic procedure low systemic toxicity combined result low chemotoxicity low osmolality ,iohexol ia used myelography arthrography nephroangiography arteriography radiographic procedure 
Ephedra sinica root,ephedra alkaloid chemical compound traditionally obtained plant _ephedra sinica_ sale ephedra-containing supplement intended increase muscle weight promote weight loss banned united state 2004 due risk adverse effect lack evidence clinical effectiveness drug still sold canada otc formulation respiratory condition associated bronchial asthma ,ephedra indicated temporary relief shortness breath tightness chest wheezing due bronchial asthma temporary relief bronchial asthma over-the-counter formulation 
Ephedrine,ephedrine first described western literature 1888 naturally occurring component ephedra plant along pseudoephedrine a193698 ephedrine act direct indirect sympathomimetic alpha- beta-adrenergic receptor agonist however also cause indirect release norepinephrine sympathetic neuron inhibiting norepinephrine reuptake displacing norepinephrine storage vesicle a193650 l12972 ephedrine used vasoconstrictive positive chronotropic positive inotropic effect l12972 ephedrine phenylephrine still used treat hypotension use indication decreased due development selective adrenergic agonist a193701 a193704 l12975 ephedrine granted type 7 fda approval 29 april 2016 l12975 ,ephedrine intravenous injection indicated treat hypotension anesthesia l12972 l34645 ephedrine injection multiple route indicated treat allergic condition bronchial asthma l12996 ephedrine nasal spray otc medication used decongestant l12993 
Mephentermine, sympathomimetic agent mainly indirect effect adrenergic receptor used maintain blood pressure hypotensive state example following spinal anesthesia although central stimulant effect mephentermine much le amphetamine use may lead amphetamine-type dependence martindale extra pharmacopoeia 30th ed p1248 ,used maintain blood pressure hypotensive state 
Procaterol, long-acting beta-2-adrenergic receptor agonist potent bronchodilator may administered orally aerosol inhalation , treatment asthma chronic obstructive pulmonary disease copd 
Rasagiline,rasagiline irreversible inhibitor monoamine oxidase used monotherapy early parkinson 's disease adjunct therapy advanced case , treatment sign symptom idiopathic parkinson disease initial monotherapy adjunct therapy levodopa 
Quinupristin,quinupristin/dalfopristin combination two antibiotic used treat infection staphylococci vancomycin-resistant enterococcus faecium dalfopristin inhibits early phase protein synthesis bacterial ribosome quinupristin inhibits late phase protein synthesis combination two component act synergistically effective vitro component alone , treatment bacterial infection usually combination dalfopristin 
Aluminium, metallic element atomic number 13 atomic symbol al atomic weight 26.98 ,
Calcium,calcium play vital role anatomy physiology biochemistry organism cell particularly signal transduction pathway skeleton act major mineral storage site element release ca2+ ion bloodstream controlled condition circulating calcium either free ionized form bound blood protein serum albumin although calcium flow bone neutral 5 mmol turned day bone serf important storage point calcium contains 99 total body calcium low calcium intake may also risk factor development osteoporosis best-absorbed form calcium pill calcium salt like carbonate phosphate calcium gluconate calcium lactate absorbed well pregnant woman senior absorb calcium lactate gluconate citrate better unless take calcium supplement full breakfast ,calcium play vital role anatomy physiology biochemistry organism cell particularly signal transduction pathway vital cell signaling muscular contraction bone health signalling cascade 
Aluminium monostearate,aluminium monostearate salt stearic acid aluminium molecular formula al oh 2c18h35o2 also known dihydroxyaluminium dihydroxy stearato aluminium used form gel packaging pharmaceutical preparation color cosmetic considered safe use extensive usage may result aluminum accumulation ,
Magnesium oxide,magnesium oxide inorganic compound occurs nature mineral periclase aqueous medium combine quickly water form magnesium hydroxide used antacid mild laxative many nonmedicinal us ,indicated over-the-counter use supplement cardiovascular neuromuscular health antacid relief acid indigestion upset stomach magnesium oxide combination sodium picosulfate anhydrous citric acid indicated cleansing colon preparation colonoscopy adult pediatric patient age 9 year older l43832 
Magnesium cation,magnesium hydroxide used primarily `` milk magnesia '' white aqueous mildly alkaline suspension magnesium hydroxide formulated 8 w/v milk magnesia primarily used alleviate constipation also used relieve indigestion heartburn taken internally mouth laxative osmotic force magnesia suspension act draw fluid body retain already within lumen intestine serving distend bowel thus stimulating nerve within colon wall inducing peristalsis resulting evacuation colonic content ,
Cortisone acetate,cortisone acetate first isolate 1935 became widely researched 1949 a226295 since glucocorticoid cortisone acetate used treat number inflammatory condition endocrine rheumatic collagen dermatologic allergic ophthalmic respiratory hematologic neoplastic edematous gastrointestinal disease disorder a226300 l13203 cortisone acetate granted fda approval 13 june 1950 l15107 ,cortisone acetate indicated treat wide variety endocrine rheumatic collagen dermatologic allergic ophthalmic respiratory hematologic neoplastic edematous gastrointestinal disease disorder a226300 l13203 
Ginkgo biloba,_ginkgo biloba_ extract contains group terpene lactones notably ginkgolides diterpenes ginkgo flavone glycoside notably ginkgetin bilobetin sciadopitysin antioxidant vasoactive property a232389 study investigate effect _ginkgo biloba_ use standardized extract _ginkgo biloba_ egb 761 egb761 developed german pharmaceutical company 1964 a232404 egb761 contains 6 terpene lactones 24 flavonoid glycoside a232379 flavonoid include quercetin rutin kaempferol isorhamnetin lactones include ginkgolide ginkgolide b ginkgolide c bilobalide ginkgotoxin lactone structurally related pyridoxine l32789 _ginkgo biloba_ herbal plant cultivated worldwide originally native china _ginkgo biloba_ extract used traditional chinese medicine century a232389 nootropic property discovered _ginkgo biloba_ gained attention therapeutic ingredient memory concentration enhancement cognitive impairment neurogenerative disease dementia a232384 _ginkgo biloba_ investigated preliminary study variety therapeutic purpose improving cardiovascular health sexual dysfunction psychiatric disorder skin disorder glaucoma _ginkgo biloba_ found number homeopathic over-the-counter herbal product dietary supplement approved therapeutic indication regulatory body fda ema health canada a232379 _ginkgo folium_ leaf extract _ginkgo biloba_ considered anti-dementia drug world health organization a232389 ,_ginkgo biloba_ currently approved therapeutic indication insufficient evidence support unapproved use a232379 available over-the-counter herbal product mostly oral use improve memory cognitive problem 
Glymidine,glycodiazine used diet lower blood glucose increasing secretion insulin pancreas increasing sensitivity peripheral tissue insulin mechanism action glycodiazine lowering blood glucose appears dependent stimulating release insulin functioning pancreatic beta cell increasing sensitivity peripheral tissue insulin glycodiazine likely bind atp-sensitive potassium channel receptor pancreatic cell surface reducing potassium conductance causing depolarization membrane membrane depolarization stimulates calcium ion influx voltage-sensitive calcium channel increase intracellular calcium ion concentration induces secretion insulin used concomitant use insulin treatment noninsulin-dependent type 2 diabetes mellitus ,glycodiazine used concomitantly insulin treatment noninsulin-dependent type 2 diabetes mellitus 
Paramethasone, glucocorticoid general property corticosteroid used mouth treatment condition corticosteroid therapy indicated except adrenal-deficiency state lack sodium-retaining property make le suitable hydrocortisone supplementary fludrocortisone martindale extra pharmacopoeia 30th ed p737 , treatment condition corticosteroid therapy indicated except adrenal-deficiency state lack sodium-retaining property make le suitable hydrocortisone supplementary fludrocortisone 
Mibefradil,mibefradil withdrawn market 1998 potentially harmful interaction drug , treatment angina high blood pressure 
Sodium bicarbonate,sodium bicarbonate white crystalline powder commonly used ph buffering agent electrolyte replenisher systemic alkalizer topical cleansing solution ,sodium bicarbonate used treatment metabolic acidosis may occur severe renal disease uncontrolled diabetes circulatory insufficiency due shock severe dehydration extracorporeal circulation blood cardiac arrest severe primary lactic acidosis also indicated severe diarrhea often accompanied significant loss bicarbonate indicated treatment certain drug intoxication including barbiturate dissociation barbiturateprotein complex desired poisoning salicylate methyl alcohol hemolytic reaction requiring alkalinization urine diminish nephrotoxicity blood pigment 
Yohimbine, plant alkaloid alpha-2-adrenergic blocking activity yohimbine used mydriatic treatment impotence also alleged aphrodisiac ,indicated sympatholytic mydriatic impotence successfully treated yohimbine male patient vascular diabetic origin psychogenic origin 
Bezafibrate,antilipemic agent lower cholesterol triglyceride decrease low density lipoprotein increase high density lipoprotein , treatment primary hyperlipidaemia type iia iib iii iv v fredrickson classification corresponding group ii iii european atherosclerosis society guideline diet alone improvement lifestyle increased exercise weight reduction lead adequate response also treatment secondary hyperlipidaemia e.g severe hypertriglyceridemias sufficient improvement occur correction underlying disorder e.g diabetes mellitus 
Colchicine,first approved fda 1961 colchicine alkaloid drug commonly used management gout condition associated painful deposition urate crystal joint a183614 l8138 derived plant belonging lily family known colchicum autumnale `` autumn crocus '' a183611 use gout colchicine approved managing exacerbation familial mediterranean fever fmf hereditary autoinflammatory condition a183620 l8141 ,colchicine indicated prophylaxis treatment gout flare also indicated familial mediterranean fever fmf child adult 4 year age older important note medication pain reliever used painful condition consider analgesic purpose l8138 off-label us colchicine include treatment manifestation behcet 's syndrome pericarditis postpericardiotomy syndrome a183932 a183935 
Drospirenone,drospirenone synthetic progestin commonly found popular oral contraceptive yaz combination ethinyl estradiol l7973 recently approved health canada fda combination estetrol oral contraceptive therapy l33199 l33174 aside contraceptive effect drospirenone used estrogen control acne premenstrual dysphoric disorder pmdd drospirenone subject widespread safety concern due possibility increased risk venous thromboembolism associated use a182543 a182552 2012 however safety statement fda concluded increase risk thromboembolism resulting use drospirenone remains unclear study regarding risk conflicting study demonstrated significantly increased risk demonstrating risk thromboembolic event statement fda mentioned increased risk venous thromboembolism oral contraceptive drospirenone exists remains lower risk condition pregnancy postpartum period considered assessing potential risk hormonal contraceptive use l7979 ,drospirenone combination ethinyl estradiol estetrol indicated oral contraceptive prevention pregnancy l7973 l33174 addition use contraceptive effect combination used treat moderate acne vulgaris symptom premenstrual dysphoric disorder l7973 l7976 drug approved indication combination estrogen treatment menopause-associated symptom vasomotor symptom vulvovaginal atrophy drospirenone combined estrogen may also may aid prevention osteoporosis woman post-menopausal least year candidate therapy l7997 l8075 sometimes found preparation containing estrogen folic acid folic acid replenishment oral contraception l8078 used treatment acne vulgaris drospirenone-containing contraceptive used woman ≥14 year age experienced menarche desire oral contraception contraindication oral contraceptive l7976 off-label us drug include treatment menstrual irregularity dysmenorrhea hirsutism endometriosis a2439 a182576 
Digitoxin, cardiac glycoside sometimes used place digoxin longer half-life digoxin toxic effect similar digoxin longer lasting martindale extra pharmacopoeia 30th ed p665 , treatment management congestive cardiac insufficiency arrhythmia heart failure 
Magnesium salicylate,magnesium salicylate non-steroidal anti-inflammatory drug nsaid used treat mild moderate pain available several over-the-counter otc formulation though recommended doseage 1160 mg every six hour per package direction doan 's otc brand 580 mg magnesium salicylate tetrahydrate equivalent 934.4 mg anhydrous magnesium salicylate effective pain relief often found half dosage reduced anti-inflammatory result ,magnesium salicylate common analgesic non-steroidal anti-inflammatory drug nsaid used treat mild moderate muscular pain
Salsalate,salsalate nonsteroidal anti-inflammatory agent oral administration salsalate 's mode action anti-inflammatory antirheumatic agent may due inhibition synthesis release prostaglandin usefulness salicylic acid active vivo product salsalate treatment arthritic disorder established contrast aspirin salsalate cause greater fecal gastrointestinal blood loss placebo salsalate readily soluble small intestine partially hydrolyzed two molecule salicylic acid significant portion parent compound absorbed unchanged undergoes rapid esterase hydrolysis body parent compound elimination half-life 1 hour salicylic acid active metabolite biotransformation saturated anti-inflammatory dos salsalate capacity limited biotransformation result increase half-life salicylic acid 3.5 16 hour , relief sign symptom rheumatoid arthritis osteoarthritis related rheumatic disorder 
Neostigmine, cholinesterase inhibitor used treatment myasthenia gravis reverse effect muscle relaxant gallamine tubocurarine neostigmine unlike physostigmine cross blood-brain barrier ,neostigmine used symptomatic treatment myasthenia gravis improving muscle tone 
Choline magnesium trisalicylate,choline magnesium trisalicylate non-acetylated salicylate used widely nonsteroidal anti-inflammatory drug trisalicylate significantly reduces methotrexate renal clearance displacing methotrexate protein increasing fraction unbound 28 a19653 a19654 ,choline magnesium trisalicylate used reduce pain inflammation caused condition arthritis medication also used treat fever adult 
Methotrimeprazine, phenothiazine pharmacological activity similar chlorpromazine promethazine histamine-antagonist property antihistamine together central nervous system effect resembling chlorpromazine martindale extra pharmacopoeia 30th ed p604 , treatment psychosis particular schizophrenia manic phase bipolar disorder 
Ginseng,ginseng promoted adaptogen product increase body 's resistance stress one certain extent supported reference anticarcinogenic antioxidant property ginseng also known contain phytoestrogens ,
Temafloxacin,temafloxacin antibiotic agent belonging fluoroquinolone drug class first approved use u.s. market 1992 withdrawn shortly due report serious adverse reaction allergic reaction hemolyric anemia resulting three death , treatment lower respiratory tract infection genital urinary infection like prostatitis skin infection 
Danazol, synthetic steroid antigonadotropic anti-estrogenic activity act anterior pituitary suppressant inhibiting pituitary output gonadotropin posse androgenic property danazol used treatment endometriosis benign breast disorder , treatment endometriosis fibrocystic breast disease patient unresponsive simple measure also used prophylactic treatment type hereditary angioedema male female 
Clenbuterol, substituted phenylaminoethanol beta-2 adrenomimetic property low dos used bronchodilator asthma ,used bronchodilator treatment asthma patient 
Bambuterol,bambuterol long acting beta-adrenoceptor agonist used treatment asthma prodrug terbutaline , prevention reversal bronchospasm patient 12 year age older asthma reversible bronchospasm associated bronchitis emphysema 
Tiotropium,tiotropium long-acting antimuscarinic bronchodilator used management chronic obstructive pulmonary disease copd asthma a180163 l7084 l7087 l7090 l7093 tiotropium act mainly m3 muscarinic receptor located airway produce smooth muscle relaxation bronchodilation a180163 l7084 l7087 l7090 l7093 tiotropium specific subset muscarinic receptor commonly found lung ipratropium a180163 tiotropium granted fda approval 30 january 2004 l7084 ,tiotropium powder inhalation indicated maintenance bronchospasm copd prevent exacerbation copd l7084 combination tiotropium olodaterol metered inhalation spray indicated maintenance copd l7087 tiotropium inhalation spray indicated maintenance bronchospasm copd prevent exacerbation copd treat asthma patient 12 year old l7090 tiotropium metered inhalation spray indicated maintenance bronchospasm copd prevent exacerbation copd treat asthma patient 6 year old l7093 
Ciclesonide,ciclesonide glucocorticoid used treat obstructive airway disease marketed brand name alvesco , treatment nasal symptom associated seasonal perennial allergic rhinitis adult adolescent 12 year age older 
Pranlukast,pranlukast cysteinyl leukotriene receptor-1 antagonist antagonizes reduces bronchospasm caused principally asthmatic allergic reaction accidentally inadvertently encountered allergen ,used adjunct standard therapy inhaled steroid inhaled long- and/or short-acting beta-agonists 
Theobromine,"theobromine 3,7-dimethylxanthine principle alkaloid theobroma cacao cacao bean plant xanthine alkaloid used bronchodilator vasodilator weaker diuretic activity theophylline also le powerful stimulant smooth muscle practically stimulant effect central nervous system formerly used diuretic treatment angina pectoris hypertension martindale extra pharmacopoeia 30th ed pp1318-9 ",theobromine used vasodilator diuretic heart stimulant similar caffeine may useful management fatigue orthostatic hypotension 
Cefepime,cefepime fourth-generation cephalosporin antibiotic developed 1994 cefepime active gram-positive gram-negative bacteria greater activity compared third-generation antibiotic a2457 a249050 cefepime normally used treat severe nosocomial pneumonia infection caused multi-resistant microorganism _pseudomonas aeruginosa_ also indicated empirical treatment febrile neutropenia a249050 popularity third-generation predecessor clinical efficacy high prevalence multidrug-resistant bacteria might factor leading increase use cefepime activity cefepime enterobacteriaceae _pseudomonas aeruginosa_ _staphylococcus aureus_ due high stability toward beta-lactamase a249050 general cefepime seems well tolerated however patient treated antibiotic especially renal impairment may develop neurotoxicity a249050 l42095 l42100 ,cefepime indicated treatment pneumonia caused susceptible bacteria empiric therapy febrile neutropenic patient cefepime also indicated treatment uncomplicated complicated urinary tract infection including pyelonephritis uncomplicated skin skin structure infection complicated intra-abdominal infection used combination metronidazole adult caused susceptible bacteria l42095 l42100 
Cefacetrile, derivative 7-aminocephalosporanic acid ,cefacetrile broad-spectrum first generation cephalosporin antibiotic effective gram-positive gram-negative bacterial infection 
Ceftibuten,ceftibuten third-generation cephalosporin antibiotic orally-administered typically used treat acute bacterial exacerbation chronic bronchitis abecb acute bacterial otitis medium pharyngitis tonsilitis ,indicated treatment acute bacterial exacerbation chronic bronchitis abecb acute bacterial otitis medium pharyngitis tonsilitis 
Cefpodoxime,cefpodoxime oral third generation cephalosporin antibiotic effectiveness gram positive gram negative bacteria commonly used treat acute otitis medium pharyngitis sinusitis cefpodoxime proxetil prodrug absorbed de-esterified intestinal mucosa cefpodoxime ,indicated treatment patient mild moderate infection caused susceptible strain designated microorganism 
Acenocoumarol,acenocoumarol coumarin derivative used anticoagulant coumarin derivative inhibit reduction vitamin k vitamin k reductase prevents carboxylation vitamin k-dependent clotting factor ii vii ix x interferes coagulation a188739 hematocrit hemoglobin international normalized ratio liver panel monitored patient acenocoumarol prohibited giving blood , treatment prevention thromboembolic disease specifically indicated prevention cerebral embolism deep vein thrombosis pulmonary embolism thromboembolism infarction transient ischemic attack used treatment deep vein thrombosis myocardial infarction 
Antrafenine,antrafenine piperazine derivative drug act analgesic anti-inflammatory drug similar efficacy naproxen widely used largely replaced newer drug ,antrafenine used anti-inflammatory analgesic agent relief mild moderate pain 
Testosterone propionate,testosterone propionate slower-releasing anabolic steroid short half-life synthetic androstane steroid derivative testosterone form 17β propionate ester testosterone t83 testosterone propionate developed initially watson lab fda approved february 5 1974 currently drug discontinued human vet application still available otc l1160 ,testosterone propionate used veterinary practice heifer order stimulate maximal growth l1160 
Paromomycin, oligosaccharide antibiotic produced various streptomyces pubchem , treatment acute chronic intestinal amebiasis effective extraintestinal amebiasis also management hepatic coma adjunctive therapy 
Nitroxoline,nitroxoline urinary antibacterial agent active susceptible gram-positive gram-negative organism commonly found urinary tract infection hydroxyquinoline derivative unrelated class drug a179251 nitroxoline active bacterial gyrases ,nitroxoline antibiotic agent 
Stepronin,strepronin mucolytic drug mucolytic agent agent dissolve thick mucus usually used help relieve respiratory difficulty viscosity mucous secretion lung dependent upon concentration mucoprotein well presence disulfide bond macromolecule dna ,strepronin mucolytic expectorant drug 
Aminophenazone,aminophenazone pyrazolone analgesic anti-inflammatory antipyretic property carry risk agranulocytosis biomedical application radiolabelled 13c-labeled aminophenazone used breath test measure cytochrome p-450 metabolic activity liver function test fda suspended use aminophenazone due association agranulocytosis life-threatening side effect a254242 l43942 ,formerly widely used antipyretic analgesic rheumatism neuritis common cold currently used measure total body water 
Alizapride,alizapride dopamine antagonist capable demonstrating prokinetic antiemetic effect kind pharmacological activity make effective use treatment various kind nausea vomiting including may occur postoperatively ,alizapride used treatment nausea vomiting including postoperative nausea vomiting 
Ajmaline, alkaloid found root rauwolfia serpentina among plant source class ia antiarrhythmic agent apparently act changing shape threshold cardiac action potential ajmaline produce potent sodium channel blocking effect short half-life make useful drug acute intravenous treatment drug popular country treatment atrial fibrillation patient wolff–parkinson–white syndrome well tolerated monomorphic ventricular tachycardia also used many year drug challenge conduction system heart case bundle branch block syncope case abnormal prolongation hv interval taken proof infrahisian conduction defect tributary permanent pacemaker implantation , use antiarrhythmic agent 
Amrinone,amrinone inamrinone type 3 pyridine phosphodiesterase inhibitor used treatment congestive heart failure ,used treatment congestive heart failure 
Oxybenzone,oxybenzone organic compound used sunscreen derivative benzophenone form colorless crystal readily soluble organic solvent used ingredient sunscreen cosmetic absorbs uv-a ultraviolet ray ,used ingredient sunscreen cosmetic 
Aprindine,aprindine cardiac depressant used arrhythmia ,
Almitrine,almitrine respiratory stimulant enhances respiration acting agonist peripheral chemoreceptor located carotid body used treatment chronic obstructive pulmonary disease also reported potentially beneficial effect treating noctural oxygen desaturation without impairing quality sleep , treatment chronic obstructive pulmonary disease 
Allylestrenol, synthetic steroid progestational activity widely marketed throughout europe including russia many european country also available japan hong kong india bangladesh indonesia much southeast asia though notably united state canada ,allylestrenol designed used miscarriage prevention prevention premature labour investigated possible use men treatment benign prostatic hyperplasia 
Cholestyramine,cholestyramine colestyramine bile acid sequestrant bile acid sequestrants polymeric compound serve ion exchange resin cholestyramine resin quite hydrophilic insoluble water ,indicated adjunctive therapy diet reduction elevated serum cholesterol patient primary hypercholesterolemia elevated low density lipoprotein ldl cholesterol respond adequately diet also relief pruritus associated partial biliary obstruction 
Methadyl acetate, narcotic analgesic long onset duration action used mainly treatment narcotic dependence ,used mainly treatment narcotic dependence 
19-norandrostenedione,19-norandrostenedione refers two steroid isomer marketed dietary supplement mainly used body builder 2005 19-norandrostenedione regulated united state schedule iii controlled substance well banned use competitive sport world anti-doping agency body 19-norandrostenedione rapidly metabolized nandrolone also known nortestosterone , claim supplemental 19-norandrostenedione anabolic effect unsubstantiated 
Antipyrine, analgesic antipyretic given mouth ear drop antipyrine often used testing effect drug disease drug-metabolizing enzyme liver martindale extra pharmacopoeia 30th ed p29 ,antipyrine analgesic often used test effect drug liver enzyme combination benzocaine otic solution antipyrine indicated symptomatic relief acute otitis medium arising various etiology 
Alfacalcidol,alfacalcidol 1-alpha-hydroxycholecalciferol 1-alpha-hydroxyvitamin d3 non-endogenous analogue vitamin a234044 play essential function calcium homeostasis bone metabolism alfacaldisol activated enzyme 25-hydroxylase liver mediate effect body importantly kidney bone pharmacological action alfacalcidol prolonged vitamin negative feedback mechanism regulates final activation step vitamin kidney a175348 a175351 alfacalcidol available oral intravenous formulation canada marketed one-alpha manages hypocalcemia secondary hyperparathyroidism osteodystrophy adult chronic renal failure l33284 approving european country alfacalcidol also indicated managing nutritional malabsorptive rickets osteomalacia vitamin d-dependent rickets osteomalacia hypophosphataemic vitamin resistant rickets osteomalacia l33364 l33369 ,alfacalcidol indicated adult patient chronic renal failure management hypocalcemia secondary hyperparathyroidism osteodystrophy l33284 alfacalcidol indicated management nutritional malabsorptive rickets osteomalacia vitamin d-dependent rickets osteomalacia hypophosphataemic vitamin resistant rickets osteomalacia l33364 l33369 
Glutethimide,glutethimide hypnotic sedative use largely superseded drug , treatment insomnia 
Phenazopyridine,phenazopyridine also known pyridium urinary tract analgesic used short-term management urinary tract irritation associated unpleasant symptom burning pain urination usa drug previously marked roche discontinued fda l7832 still used various part world ingestion phenazopyridine found change appearance urine imparting orange red color considered azo dye l7829 ,phenazopyridine hydrochloride indicated relieve uncomfortable symptom occur consequence mucosal irritation lower urinary tract adult irritation may result trauma surgery endoscopic procedure infection insertion instrument urinary catheter l7826 phenazopyridine may used combination antimicrobial therapy used antimicrobial agent contributes relief discomfort pain antimicrobial therapy begin take effect important note duration treatment drug last maximum 2 day l7826 phenazopyridine available many country counter drug a182147 
3-Methylthiofentanyl,3-methyl-thiofentanyl fentanyl analog opioid analgesic work inducing central nervous system cns depression ,
gamma-Hydroxybutyric acid,gamma hydroxybutyric acid commonly abbreviated ghb therapeutic drug illegal multiple country currently regulated u sold jazz pharmaceutical name xyrem however important note ghb designated orphan drug 1985 today xyrem schedule iii drug however ghb remains schedule drug illicit use xyrem fall penalty schedule i. ghb naturally occurring substance found central nervous system wine beef small citrus fruit almost living creature small amount used illegally street name juice liquid ecstasy simply g either intoxicant date rape drug xyrem central nervous system depressant reduces excessive daytime sleepiness cataplexy patient narcolepsy ,used general anesthetic treat condition insomnia clinical depression narcolepsy alcoholism improve athletic performance 
"5-Methoxy-N,N-diisopropyltryptamine",5-methoxy-n n-diisopropyltryptamine 5-meo-dipt tryptamine derivative share many similarity schedule tryptamine hallucinogen alpha-ethyltryptamine n n-dimethyltryptamine n n-diethyltryptamine bufotenine psilocybin psilocin since 1999 growing popularity 5-meo-dipt among drug abuser substance abused hallucinogenic effect ,
MMDA,"mmda 3-methoxy-4,5-methylenedioxyamphetamine member amphetamine drug class stimulant psychedelic property also act entheogen entactogen mmda bear resemblance psychopharmacologically active essential oil elemicin myristicin found nutmeg effect mmda includes feeling euphoria warmth well realistic closed-eye visuals ",mmda recreational drug current medical us schedule controlled substance usa present 
19-Nor-5-androstenedione,19-nor-5-andorstenedione prohormone potential affect bodily level testosterone metabolized vivo regulated united state schedule iii controlled substance prohibited world anti-doping agency use competitive sport ,
Dimethylthiambutene,"dimethylthiambutene n n-dimethyl-1-methyl-3,3-di-2-thienylallylamine dimethibutin ohton opioid analgesic drug international control schedule un single convention narcotic drug 1961 presumably due high abuse potential although little information available ",dimethylthiambutene opioid analgesic previously used moderate pain relief 
Bufotenine, hallucinogenic serotonin analog found frog toad skin mushroom higher plant mammal especially brain plasma urine schizophrenic bufotenin used tool cns study misused psychedelic ,
Indopan,"indopan alpha-methyltryptamine stimulant psychoactive drug produce effect similar 3,4-methylenedioxy-n-methylamphetamine mdma despite structurally dissimilar developed 1960 's upjohn intention use antidepressant 1990 's indopan became regulated schedule controlled substance united state ",
Diamorphine,diamorphine heroin narcotic analgesic may habit-forming controlled substance opium derivative listed u.s. code federal regulation title 21 part 329.1 1308.11 1987 sale forbidden united state federal statute merck index 11th ed internationally diamorphine controlled schedule iv single convention narcotic drug heroin illegal manufacture posse sell united state uk however name diamorphine heroin legal prescription drug united kingdom ,diamorphine prescription medication united kingdom indicated use treatment severe pain associated surgical procedure myocardial infarction pain terminally ill relief dyspnoea acute pulmonary edema l4999 
